ID,会社名,所在地,TEL,営業時間,定休日,免許,HP,備考_駐車場,貼貸_住居用,貼貸_事業用,貼貸_土地,貼貸_駐車場,売買_土地,売買_一戸建て,売買_マンション,売買_その他,URL
5001,(株)琉信ハウジング,沖縄県那覇市松山 2-3-12,098-863-1917,月ー金 09:00〜17:00,日曜・祝祭日,沖縄県知事免許(９)第2106号,当社ホームページはこちら,■売買部／098-863-1994駐車場/あり 5台,0,11,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5001
5005,(株)丸西産業,沖縄県那覇市若狭 1-3-10,098-863-7120,08:30〜17:30,土・日・祝祭日・年末年始,沖縄県知事免許(13)第415号,当社ホームページはこちら,※玄関前に駐車して下さい。駐車場/あり 2台,0,0,0,0,2,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5005
5006,(株)大信開発,沖縄県那覇市前島 1-10-16,098-866-1234,平日 09:30〜18:30土曜日 09:30〜15:30,日曜・祝日,沖縄県知事免許(12)第0666号,当社ホームページはこちら,駐車場/あり 1台,4,1,0,0,0,0,1,1,https://www.e-uchina.net/fudosan_kaisha/5006
5008,トモマサ不動産商事,沖縄県那覇市繁多川 1-15-5,098-855-2553,09:00〜19:00,日曜 / 祝祭日,沖縄県知事免許(5)第3476号,当社ホームページはこちら,駐車場/あり,1,0,0,0,3,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5008
5009,(株)タカラハウス,沖縄県那覇市壺川 3-4-23,098-834-7300,月－金 10:00〜18:00土曜日 10:00〜17:00,水曜・日曜・祝日・他（GW/年末年始）,沖縄県知事免許(2)第4718号,当社ホームページはこちら,駐車場/あり 3台,1,3,0,0,6,1,1,1,https://www.e-uchina.net/fudosan_kaisha/5009
5011,(株)千代正不動産,沖縄県那覇市安里 1-7-17,098-867-1869,月ー金 09:30〜18:00,土・日・祝祭日,沖縄県知事免許(14)第0221号,当社ホームページはこちら,駐車場/なし,0,0,0,2,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5011
5012,株式会社三京リビング,沖縄県那覇市泊 2-4-14,098-863-6933,月-金 09:00〜18:00土曜日 09:00〜17:00,日曜日・祝日・GW休暇・年末年始,沖縄県知事免許(3)第4312号,当社ホームページはこちら,徒歩15秒の場所に駐車場の用意がございます。普通車でも駐車可ですのでお気軽にご来店ください。駐車場/あり 1台,8,2,0,0,1,1,3,2,https://www.e-uchina.net/fudosan_kaisha/5012
5013,(有)ビッグ開発,沖縄県那覇市曙 3-6-1,098-864-1240,09:30〜17:30,毎週日曜日、年末年始及び弊社指定日,沖縄県知事免許(7)第2986号,当社ホームページはこちら,駐車場/あり 7台,47,19,1,1,15,8,9,18,https://www.e-uchina.net/fudosan_kaisha/5013
5016,株式会社92住宅,沖縄県那覇市久米 2-25-10,098-861-0409,月ー金 10:00〜17:30 ★お昼休み12：00～13：00土曜 10:00〜17:00 ★お昼休み12：00～13：00,第2土曜(10月は第3土曜)★日曜★祝祭日★お盆★年末年始,沖縄県知事免許(2)第4802号,当社ホームページはこちら,駐車場/あり 1台,6,0,0,1,2,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5016
5019,(有)一銀サービス,沖縄県那覇市久茂地 2-14-21,098-867-6417,09:00〜18:00,土・日・祝日は要予約,沖縄県知事免許(11)第1169号,当社ホームページはこちら,駐車場/なし,13,1,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5019
5020,(株)住宅管理コンサルタント,沖縄県那覇市天久 1-8-6,098-864-5853,月ー土 09:30〜18:30,日曜・祝祭日,沖縄県知事免許(9)第1957号,当社ホームページはこちら,駐車場/あり 1台,1,1,0,0,10,2,0,3,https://www.e-uchina.net/fudosan_kaisha/5020
5021,(有)大八住宅,沖縄県那覇市安里 491-7,098-869-1515,09:00〜17:00,土・日・祝祭日・年末年始,沖縄県知事免許(10)第1013号,当社ホームページはこちら,駐車場/あり,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5021
5026,ビクトリー企画株式会社,沖縄県那覇市寄宮 1-27-11 シャトレ城 102,098-836-2001,平日 10:00〜18:00土曜日 10:00〜17:00,日祝祭日,沖縄県知事免許(1)第5102号,当社ホームページはこちら,モノレール安里駅徒歩10分駐車場/あり 1台,0,0,0,0,3,0,1,1,https://www.e-uchina.net/fudosan_kaisha/5026
5027,(有)拓実住宅,沖縄県浦添市宮城 1-28-3,098-879-0241,09:30〜17:00,"毎週水曜日,日祝祭日,旧盆他",沖縄県知事免許(11)第0957号,当社ホームページはこちら,ベージュ色ゾーンをご利用下さい駐車場/あり 6台,2,0,0,0,1,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5027
5029,(有)サンテラス,沖縄県那覇市与儀 366-9,098-836-0374,09:00〜18:00,日曜日、祝日、第２・４・５土曜日、第１・３水曜日、年末年始,沖縄県知事免許(8)第2562号,当社ホームページはこちら,駐車場/あり 1台,2,0,0,1,1,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5029
5030,株式会社大光不動産,沖縄県宜野湾市真栄原 2-2-3,098-897-0204,月～土 10:00〜17:00,日曜日・祝日（※3月は引越しシーズンの為、日曜日・祝日も営業しています）,沖縄県知事免許(7)第3022号,当社ホームページはこちら,セブンイレブン真栄原２丁目店と共同駐車場となります。駐車場/あり 10台,53,14,1,7,1,3,1,2,https://www.e-uchina.net/fudosan_kaisha/5030
5032,(株)浜里不動産 西原店,沖縄県西原町上原 63-1,098-835-8255,09:30〜18:00,土曜・日曜・祝日,沖縄県知事免許(6)第3101号,当社ホームページはこちら,駐車場/あり 4台,0,0,0,0,7,0,0,3,https://www.e-uchina.net/fudosan_kaisha/5032
5033,(株)ホープネクスト,沖縄県那覇市安里 1-1-35,098-863-0193,月～金曜日 09:30〜17:30土曜日 09:30〜12:00,日・祝祭日・第5土曜日・旧盆・年末年始,沖縄県知事免許(3)第4405号,当社ホームページはこちら,駐車場/なし,8,4,0,0,2,0,0,1,https://www.e-uchina.net/fudosan_kaisha/5033
5034,株式会社日宅 てだこ店,沖縄県浦添市当山 2-5-6 ウエストヴィラ21（2F）,098-877-3333,平日 10:00〜18:30,日曜・祝祭日・年末年始・会社指定休あり,沖縄県知事免許(8)第2726号,当社ホームページはこちら,敷地内利用者と共有となります。駐車場/あり,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5034
5038,(有)仲西宅建,沖縄県浦添市宮城 4-15-5 コーポ南十字,098-874-5941,月～金 09:00〜18:00土 09:00〜17:00,日・祝祭日・第５土曜日,沖縄県知事免許(2)第4642号,当社ホームページはこちら,入口前面駐車場/あり,2,0,0,1,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5038
5042,美樹ハウジング,沖縄県宜野湾市志真志 4-34-7,098-898-4466,月ー土曜日 09:00〜18:00,日曜、祝祭日,沖縄県知事免許(4)第2590号,当社ホームページはこちら,,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5042
5043,株式会社サン不動産,沖縄県北谷町浜川 102-2 テルヤオフィス1F,098-987-8015,09:30〜18:00,日曜日,沖縄県知事免許(1)第4660号,当社ホームページはこちら,駐車場/あり 3台,0,0,0,0,7,1,1,2,https://www.e-uchina.net/fudosan_kaisha/5043
5044,うるま不動産,沖縄県浦添市伊祖 2-16-15,098-876-5553,09:00〜18:00,日曜日・祝祭日・GW・お盆・年末年始,沖縄県知事免許(10)第1716号,当社ホームページはこちら,駐車場/あり 3台,4,0,0,0,13,0,0,19,https://www.e-uchina.net/fudosan_kaisha/5044
5046,(有)高蔵住宅,沖縄県那覇市小禄 414-3 コートヴィレッジ奥武山101号,098-857-7311,10:00〜17:30 (定休日水曜日等を除く),水曜日、年末年始,沖縄県知事免許(5)第3664号,当社ホームページはこちら,駐車場/あり 3台,7,3,0,0,7,1,1,5,https://www.e-uchina.net/fudosan_kaisha/5046
5047,(有)沖縄ニューハウスセンター,沖縄県那覇市久茂地 2-18-16 ONCビル2F,098-867-8316,月～金 09:00〜17:00,土・日・祝祭日,沖縄県知事免許(9)第2174号,当社ホームページはこちら,近隣コインパーキングをご利用下さい駐車場/なし,10,12,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5047
